,Ticker,Price,SMA_20,SMA_50,RSI,Current Ratio,Debt to Equity Ratio,Return on Equity,Earnings Per Share,Price to Earnings Ratio,Price to Book Ratio,quickRatio
0,A,122.9000015258789,130.17549934387208,136.62007614135743,32.095095801588165,1.957,52.559,0.20618999,,4.57,5.160613,
1,AA,60.4900016784668,59.836499786376955,57.41480010986328,52.496679792723924,1.453,39.427,0.19919,,4.42,2.5582576,
2,AACB,10.340999603271484,10.359549951553344,10.32792007446289,48.769955910172555,,,,,,-22.979113,
3,AACBR,0.3098999857902527,,,,,,,,,-0.68866664,
4,AACBU,10.600000381469727,10.648000144958496,10.612400169372558,34.24871285052831,,,,,,-23.555777,
5,AACG,0.9100000262260437,0.9699999928474426,0.9275999999046326,45.564499255866444,0.328,112.003,-0.13603,,-0.04,3.3732064,
6,AACIU,9.979999542236328,,,,,,,,,,
7,AACOU,9.960000038146973,,,,,,,,,-4980.0,
8,AAL,13.59000015258789,14.119000053405761,14.933800010681152,42.1121884659671,0.498,,,,0.17,-2.4078667,
9,AAME,3.0299999713897705,2.705999994277954,2.7436000013351443,65.67859162677863,1.501,38.967,0.04745,,0.23,0.5647717,
10,AAMI,53.22999954223633,53.09349956512451,51.10801551818847,54.85353062840069,1.408,311.19,1.24605,,2.21,31.367117,
11,AAOI,51.68000030517578,43.41400012969971,38.49260009765625,64.21826923816255,2.309,42.062,-0.40431,,-3.46,6.2916975,
12,AAON,102.30000305175781,96.74899978637696,87.6165998840332,64.74339334253504,3.035,8.581,0.120790005,,1.21,9.671016,
13,AAP,55.869998931884766,53.23249988555908,46.76103240966797,62.2760818345395,1.746,257.461,0.031140001,,1.13,1.5251276,
14,AAPG,24.93000030517578,24.455000114440917,26.445939979553224,48.78303077192657,1.54,253.905,-1.59649,,-2.1,88.88244,
15,AAPL,264.5799865722656,264.8956687927246,265.9085974121094,49.70283613335272,0.974,102.63,1.5202099,,7.91,44.111366,
16,AARD,12.319999694824219,12.986999940872192,13.75109998703003,43.14584253569627,12.035,0.445,-0.48061,,-2.53,2.1890547,
17,AAT,19.549999237060547,18.488000011444093,18.656000022888183,64.24707976267217,3.074,156.376,0.06443,,0.92,1.0428891,
18,AAUC,31.329999923706055,31.401500034332276,27.415799980163573,66.08056840710005,0.697,33.147,0.02567,,-0.28,11.04725,
19,AB,39.66999816894531,40.14780158996582,39.1182373046875,50.00904341043422,,,0.18337,,2.97,2.956256,
20,ABAT,3.549999952316284,4.063250005245209,4.18970000743866,40.1404649558698,14.882,0.21,-0.43515998,,-0.39,3.9096916,
21,ABBV,224.80999755859375,223.66299896240236,222.9164959716797,51.28509428248314,0.671,,62.25,,2.36,-121.51891,
22,ABCB,83.7300033569336,82.75200080871582,79.73448440551758,57.569047515904295,,,0.10531,,6.0,1.3917886,
23,ABCL,3.0399999618530273,3.4044999957084654,3.664399995803833,39.08082621897583,10.103,14.752,-0.16814,,-0.57,0.942928,
24,ABEO,5.260000228881836,5.101500010490417,5.184999980926514,55.103367174268044,9.744,14.078,0.75897,,1.21,1.6095473,
25,ABEV,3.069999933242798,2.943999981880188,2.6861999797821046,68.19094092559035,0.962,3.815,0.16976999,,0.18,2.8419626,
26,ABG,226.17999267578125,231.9109977722168,238.60859924316406,43.364128835806625,0.95,156.823,0.13307999,,25.13,1.1174902,
27,ABLV,0.800000011920929,0.7769999980926514,0.7526800000667572,54.81429676058293,1.439,119.063,-1.20857,,-0.19,4.0816326,
28,ABLVW,0.024000000208616257,,,,1.439,119.063,-1.20857,,,0.12244898,
29,ABM,45.54999923706055,45.77350006103516,44.783889541625975,51.25190698771197,1.485,94.836,0.09104,,2.59,1.5350655,
30,ABNB,127.88999938964844,125.62924919128417,130.79429962158204,52.664981256161326,1.377,27.698,0.30233,,4.03,9.389868,
